text,intent
apaga la pc,pc_shutdown
apaga la pc ahora,pc_shutdown
apaga la pc en este momento,pc_shutdown
apaga la pc por favor,pc_shutdown
apaga la pc rapidamente,pc_shutdown
apaga la pc sin demoras,pc_shutdown
nox apaga la pc,pc_shutdown
nox apaga la pc ahora,pc_shutdown
nox apaga la pc en este momento,pc_shutdown
nox apaga la pc por favor,pc_shutdown
nox apaga la pc rapidamente,pc_shutdown
nox apaga la pc sin demoras,pc_shutdown
por favor apaga la pc,pc_shutdown
por favor apaga la pc ahora,pc_shutdown
nox reinicia la pc,pc_restart
nox reinicia la pc ahora,pc_restart
nox reinicia la pc en este momento,pc_restart
nox reinicia la pc por favor,pc_restart
nox reinicia la pc rapidamente,pc_restart
nox reinicia la pc sin demoras,pc_restart
por favor reinicia la pc,pc_restart
por favor reinicia la pc ahora,pc_restart
reinicia la pc,pc_restart
reinicia la pc ahora,pc_restart
reinicia la pc en este momento,pc_restart
reinicia la pc por favor,pc_restart
reinicia la pc rapidamente,pc_restart
reinicia la pc sin demoras,pc_restart
nox pon la pc en suspension,pc_sleep
nox pon la pc en suspension ahora,pc_sleep
nox pon la pc en suspension en este momento,pc_sleep
nox pon la pc en suspension por favor,pc_sleep
nox pon la pc en suspension rapidamente,pc_sleep
nox pon la pc en suspension sin demoras,pc_sleep
pon la pc en suspension,pc_sleep
pon la pc en suspension ahora,pc_sleep
pon la pc en suspension en este momento,pc_sleep
pon la pc en suspension por favor,pc_sleep
pon la pc en suspension rapidamente,pc_sleep
pon la pc en suspension sin demoras,pc_sleep
por favor pon la pc en suspension,pc_sleep
por favor pon la pc en suspension ahora,pc_sleep
bloquea la pc,pc_lock
bloquea la pc ahora,pc_lock
bloquea la pc en este momento,pc_lock
bloquea la pc por favor,pc_lock
bloquea la pc rapidamente,pc_lock
bloquea la pc sin demoras,pc_lock
nox bloquea la pc,pc_lock
nox bloquea la pc ahora,pc_lock
nox bloquea la pc en este momento,pc_lock
nox bloquea la pc por favor,pc_lock
nox bloquea la pc rapidamente,pc_lock
nox bloquea la pc sin demoras,pc_lock
por favor bloquea la pc,pc_lock
por favor bloquea la pc ahora,pc_lock
desbloquea la pc,pc_unlock
desbloquea la pc ahora,pc_unlock
desbloquea la pc en este momento,pc_unlock
desbloquea la pc por favor,pc_unlock
desbloquea la pc rapidamente,pc_unlock
desbloquea la pc sin demoras,pc_unlock
nox desbloquea la pc,pc_unlock
nox desbloquea la pc ahora,pc_unlock
nox desbloquea la pc en este momento,pc_unlock
nox desbloquea la pc por favor,pc_unlock
nox desbloquea la pc rapidamente,pc_unlock
nox desbloquea la pc sin demoras,pc_unlock
por favor desbloquea la pc,pc_unlock
por favor desbloquea la pc ahora,pc_unlock
hiberna la pc,pc_hibernate
hiberna la pc ahora,pc_hibernate
hiberna la pc en este momento,pc_hibernate
hiberna la pc por favor,pc_hibernate
hiberna la pc rapidamente,pc_hibernate
hiberna la pc sin demoras,pc_hibernate
nox hiberna la pc,pc_hibernate
nox hiberna la pc ahora,pc_hibernate
nox hiberna la pc en este momento,pc_hibernate
nox hiberna la pc por favor,pc_hibernate
nox hiberna la pc rapidamente,pc_hibernate
nox hiberna la pc sin demoras,pc_hibernate
por favor hiberna la pc,pc_hibernate
por favor hiberna la pc ahora,pc_hibernate
